timestamp,price,volume,market_cap,coin
2025-08-02 00:00:00,113234.6051343189,65794680822.25255,2253609880959.403,bitcoin
2025-08-03 00:00:00,112554.90232221723,33543439044.09785,2240413983638.112,bitcoin
2025-08-04 00:00:00,114199.10966460757,24689273719.085533,2272802075267.0376,bitcoin
2025-08-05 00:00:00,115138.68613070177,32488023582.82734,2292395156144.1514,bitcoin
2025-08-06 00:00:00,114128.35408881678,37316213251.97167,2271583255077.356,bitcoin
2025-08-07 00:00:00,115022.09576830892,32052509631.058872,2289295036528.6577,bitcoin
2025-08-08 00:00:00,117463.47451085235,38289687095.00489,2337732858703.5435,bitcoin
2025-08-09 00:00:00,116688.36663186055,33017415812.97353,2323026541073.3213,bitcoin
2025-08-10 00:00:00,116510.08393213755,27638785406.21056,2318815857401.68,bitcoin
2025-08-11 00:00:00,119266.92516880555,37157754754.85189,2374097296837.8896,bitcoin
2025-08-12 00:00:00,118773.79960860992,61739781527.95854,2364060561672.9995,bitcoin
2025-08-13 00:00:00,120202.53485503166,46941089789.57991,2392854421745.6157,bitcoin
2025-08-14 00:00:00,123560.99363577305,61818118105.53991,2458895200752.567,bitcoin
2025-08-15 00:00:00,118405.59579823953,73822008367.99681,2360043737045.272,bitcoin
2025-08-16 00:00:00,117339.79190213277,44268714220.021,2335290383260.173,bitcoin
2025-08-17 00:00:00,117501.21653394958,23202714236.542347,2339465736068.208,bitcoin
2025-08-18 00:00:00,117542.83687778088,20906566026.645443,2340648324181.828,bitcoin
2025-08-19 00:00:00,116256.41276740946,47337926940.98573,2313556987528.4634,bitcoin
2025-08-20 00:00:00,112778.34483555844,46156885037.403885,2245419916215.7417,bitcoin
2025-08-21 00:00:00,114252.39755195397,42166369117.006935,2274471285844.184,bitcoin
2025-08-22 00:00:00,112414.39987336512,32048202090.65466,2238121481749.57,bitcoin
2025-08-23 00:00:00,116834.24948202295,50878158870.82928,2326174803320.612,bitcoin
2025-08-24 00:00:00,115359.98346714744,27306719885.257973,2296786080139.701,bitcoin
2025-08-25 00:00:00,113399.54847314971,40682656776.69001,2259663171125.389,bitcoin
2025-08-26 00:00:00,110185.35443900425,52854872363.936554,2194453712375.598,bitcoin
2025-08-27 00:00:00,111842.70999260596,43023800053.0546,2227025695775.593,bitcoin
2025-08-28 00:00:00,111216.08479629169,36957904262.995804,2215255294289.9937,bitcoin
2025-08-29 00:00:00,112525.59740669793,34222495087.206894,2239422945686.892,bitcoin
2025-08-30 00:00:00,108480.30666639366,51702115726.38959,2160278651486.2852,bitcoin
2025-08-31 00:00:00,108781.95727925687,27799981330.792213,2166165747945.1812,bitcoin
2025-09-01 00:00:00,108253.36092385623,26140904019.246822,2155694976689.5986,bitcoin
2025-09-02 00:00:00,109162.68557992298,42999610648.39302,2174100506466.4321,bitcoin
2025-09-03 00:00:00,111190.18209845416,50235464642.845955,2212595221503.454,bitcoin
2025-09-04 00:00:00,111711.51977725117,36406080683.42747,2225365905592.233,bitcoin
2025-09-05 00:00:00,110724.736377486,38708366685.43147,2204051936301.3257,bitcoin
2025-09-06 00:00:00,110662.18112628513,56020470627.40665,2204045604630.5625,bitcoin
2025-09-07 00:00:00,110209.1888247784,19340758702.076332,2195288669199.568,bitcoin
2025-09-08 00:00:00,111131.9923868407,22147049159.335133,2213764479139.3647,bitcoin
2025-09-09 00:00:00,112025.12878118771,37159847899.8603,2231763512226.867,bitcoin
2025-09-10 00:00:00,111547.43956434788,45338021458.38368,2222026777598.0474,bitcoin
2025-09-11 00:00:00,113975.32489468766,52205187155.05567,2270241314652.7144,bitcoin
2025-09-12 00:00:00,115503.16663193036,43752917632.95067,2299764311655.674,bitcoin
2025-09-13 00:00:00,116160.14344594491,51192951485.864395,2314347371939.946,bitcoin
2025-09-14 00:00:00,115970.58488443034,30063858747.76022,2310166037871.29,bitcoin
2025-09-15 00:00:00,115373.55555886829,26889399414.610912,2297459118244.424,bitcoin
2025-09-16 00:00:00,115397.25272727509,46947581231.08198,2297977599504.5527,bitcoin
2025-09-17 00:00:00,116762.8496864193,39964451595.099724,2325326932460.9644,bitcoin
2025-09-18 00:00:00,116455.94648225319,54740952295.37868,2321583680138.891,bitcoin
2025-09-19 00:00:00,117145.49508952006,43642467075.25838,2333705338232.097,bitcoin
2025-09-20 00:00:00,115655.81046441344,34296721252.33001,2303469041668.8,bitcoin
2025-09-21 00:00:00,115715.51536781774,18774953731.290394,2305371926506.302,bitcoin
2025-09-22 00:00:00,115304.47999407038,18659113982.495464,2297332085237.645,bitcoin
2025-09-23 00:00:00,112696.74101711863,69152342029.46799,2245929069310.8535,bitcoin
2025-09-24 00:00:00,112022.16587861195,46154878824.043465,2232693472656.6514,bitcoin
2025-09-25 00:00:00,113320.56908541008,46677543220.334526,2257741194218.8286,bitcoin
2025-09-26 00:00:00,108963.53013595635,74481796351.47305,2171950311711.4429,bitcoin
2025-09-27 00:00:00,109710.20874667744,55257214020.568245,2185866776171.5464,bitcoin
2025-09-28 00:00:00,109654.81021075726,23294896964.31016,2185203231301.0562,bitcoin
2025-09-29 00:00:00,112142.57362752674,31274654338.51212,2235798877396.134,bitcoin
2025-09-30 00:00:00,114309.15041119447,57833295882.65785,2278362523594.3135,bitcoin
2025-10-01 00:00:00,114024.22783550054,57718901820.70616,2272137555069.4507,bitcoin
2025-10-02 00:00:00,118503.24451752483,69920179085.4708,2359569556068.08,bitcoin
2025-10-03 00:00:00,120611.71911591051,71252850672.75252,2399524207991.5527,bitcoin
2025-10-04 00:00:00,122250.15186842803,83155430408.51796,2436956902844.7153,bitcoin
